timestamp,event_id,event_type,username,host,logon_type,process_name,privilege_used
2025-07-21 11:21:21,4625,Logon Failure,bob,HR-PC,Interactive,mimikatz.exe,
2025-07-21 11:29:58,4624,Logon Success,admin,WORKSTATION-01,Interactive,explorer.exe,
2025-07-21 11:30:27,4672,Privilege Escalation,charlie,SERVER-02,Network,svchost.exe,SeDebugPrivilege
2025-07-21 11:11:44,4720,New User Account Created,charlie,FINANCE-LAPTOP,Interactive,rundll32.exe,
2025-07-21 11:23:50,4672,Privilege Escalation,admin,HR-PC,Network,chrome.exe,SeDebugPrivilege
2025-07-21 11:20:54,4672,Privilege Escalation,alice,HR-PC,Network,chrome.exe,SeDebugPrivilege
2025-07-21 11:20:06,4625,Logon Failure,guest,HR-PC,RemoteDesktop,rundll32.exe,
2025-07-21 11:17:00,4720,New User Account Created,admin,HR-PC,Interactive,chrome.exe,
2025-07-21 11:20:42,9999,Mimikatz Execution,alice,HR-PC,Network,explorer.exe,SeDebugPrivilege
2025-07-21 11:33:50,4672,Privilege Escalation,admin,SERVER-02,Network,mimikatz.exe,SeDebugPrivilege
2025-07-21 11:23:40,9999,Mimikatz Execution,alice,FINANCE-LAPTOP,Interactive,powershell.exe,SeDebugPrivilege
2025-07-21 11:15:36,4720,New User Account Created,charlie,SERVER-02,Network,explorer.exe,
2025-07-21 11:25:33,4688,Process Created,alice,WORKSTATION-01,RemoteDesktop,chrome.exe,
2025-07-21 11:35:46,4625,Logon Failure,alice,SERVER-02,Interactive,powershell.exe,
2025-07-21 11:21:15,4672,Privilege Escalation,guest,HR-PC,Interactive,chrome.exe,SeDebugPrivilege
2025-07-21 11:19:00,9999,Mimikatz Execution,guest,FINANCE-LAPTOP,Network,rundll32.exe,SeDebugPrivilege
2025-07-21 11:34:39,4625,Logon Failure,charlie,HR-PC,RemoteDesktop,explorer.exe,
2025-07-21 11:14:18,9999,Mimikatz Execution,admin,WORKSTATION-01,Interactive,explorer.exe,SeDebugPrivilege
2025-07-21 11:30:17,9999,Mimikatz Execution,admin,HR-PC,Network,cmd.exe,SeDebugPrivilege
2025-07-21 11:17:20,4688,Process Created,alice,SERVER-02,Interactive,explorer.exe,
2025-07-21 11:17:33,4688,Process Created,bob,WORKSTATION-01,Network,powershell.exe,
2025-07-21 11:31:26,4688,Process Created,charlie,WORKSTATION-01,Interactive,svchost.exe,
2025-07-21 11:33:12,9999,Mimikatz Execution,charlie,FINANCE-LAPTOP,RemoteDesktop,rundll32.exe,SeDebugPrivilege
2025-07-21 11:29:24,4720,New User Account Created,alice,HR-PC,Interactive,explorer.exe,
2025-07-21 11:22:40,4688,Process Created,admin,HR-PC,RemoteDesktop,chrome.exe,
2025-07-21 11:34:24,4624,Logon Success,alice,HR-PC,Network,chrome.exe,
2025-07-21 11:42:03,4625,Logon Failure,bob,HR-PC,RemoteDesktop,powershell.exe,
2025-07-21 11:44:00,4688,Process Created,guest,FINANCE-LAPTOP,RemoteDesktop,mimikatz.exe,
2025-07-21 11:44:30,9999,Mimikatz Execution,bob,SERVER-02,Network,svchost.exe,SeDebugPrivilege
2025-07-21 11:27:00,4688,Process Created,admin,WORKSTATION-01,RemoteDesktop,powershell.exe,
2025-07-21 11:25:47,9999,Mimikatz Execution,admin,WORKSTATION-01,RemoteDesktop,powershell.exe,SeDebugPrivilege
2025-07-21 11:46:00,4625,Logon Failure,bob,HR-PC,Network,rundll32.exe,
2025-07-21 11:37:12,4672,Privilege Escalation,guest,WORKSTATION-01,Network,svchost.exe,SeDebugPrivilege
2025-07-21 11:32:54,9999,Mimikatz Execution,guest,SERVER-02,Interactive,chrome.exe,SeDebugPrivilege
2025-07-21 11:33:15,4688,Process Created,admin,SERVER-02,Interactive,svchost.exe,
2025-07-21 11:32:00,4672,Privilege Escalation,guest,FINANCE-LAPTOP,Interactive,rundll32.exe,SeDebugPrivilege
2025-07-21 11:35:34,9999,Mimikatz Execution,charlie,HR-PC,RemoteDesktop,rundll32.exe,SeDebugPrivilege
2025-07-21 11:31:02,4688,Process Created,bob,WORKSTATION-01,Network,powershell.exe,
2025-07-21 11:37:57,4672,Privilege Escalation,charlie,SERVER-02,RemoteDesktop,explorer.exe,SeDebugPrivilege
